API, Freq
Conv,42767
IndexedSlicesSpec,0
identity_n,98
IndexedSlices,869
identity,8248
guarantee_const,0
histogram_fixed_width_bins,12
group,20446
hessians,11
Graph,14180
grad_pass_through,0
GradientTape,834
histogram_fixed_width,55
gradients,11041
keraslayersMultiply,5
get_static_value,214
get_logger,347
debuggingAssert,7
keraslossesKLD,1
keraspreprocessingimageImageDataGenerator,16
keraslayersmultiply,27
xlaexperimentalcompile,16
trainexperimentalPythonState,2
trainexperimentalenable_mixed_precision_graph_rewrite,2
trainexperimentaldisable_mixed_precision_graph_rewrite,0
trainlist_variables,69
trainlatest_checkpoint,600
trainload_variable,22
trainload_checkpoint,9
trainget_checkpoint_state,361
trainExponentialMovingAverage,285
trainCoordinator,478
traincheckpoints_iterator,1
trainCheckpointManager,41
trainCheckpoint,195
tpuexperimentalshutdown_tpu_system,0
trainClusterSpec,162
tpuexperimentalDeviceAssignment,0
testTestCase,5456
testmain,4264
testis_gpu_available,185
testTestCasefailureException,4
tpuexperimentalinitialize_tpu_system,16
testis_built_with_rocm,0
testis_built_with_gpu_support,0
testis_built_with_cuda,47
testgpu_device_name,14
testBenchmark,47
testcreate_local_cluster,1
testcompute_gradient,423
testbenchmark_config,0
sysconfigget_link_flags,9
testassert_equal_graph_def,5
summaryexperimentalget_step,0
sysconfigget_compile_flags,8
summaryexperimentalset_step,14
sysconfigget_include,7
sysconfigget_lib,8
summarytrace_export,1
summarywrite,30
summarytrace_on,1
summaryexperimentalwrite_raw_pb,0
summarytrace_off,0
summarytext,23
summaryscalar,3603
summaryimage,875
summaryflush,17
summaryhistogram,1037
summarycreate_noop_writer,2
summarycreate_file_writer,120
summaryaudio,47
stringsupper,0
stringsunsorted_segment_join,0
stringsunicode_transcode,0
stringsunicode_split,5
stringsunicode_script,0
stringsunicode_split_with_offsets,0
stringsto_hash_bucket,5
stringsunicode_encode,0
stringsunicode_decode,0
stringsto_number,38
stringsto_hash_bucket_fast,4
stringsunicode_decode_with_offsets,0
stringssubstr,0
stringsto_hash_bucket_strong,0
stringsreduce_join,8
stringsstrip,1
stringsregex_replace,3
stringssplit,20
stringsregex_full_match,4
stringsjoin,0
stringsformat,1
stringsas_string,3
stringslower,2
stringslength,0
stringsbytes_split,0
stringsngrams,0
sparsetranspose,1
sparseto_indicator,0
sparseto_dense,73
sparsesplit,2
sparsesparse_dense_matmul,9
sparsesegment_sum,0
sparsesegment_sqrt_n,0
sparseSparseTensor,18
sparsesoftmax,0
sparseslice,1
sparsereshape,5
sparsesegment_mean,0
sparseretain,2
sparsemask,0
sparsereduce_sum,3
sparsereset_shape,2
sparsefrom_dense,5
sparsereduce_max,0
sparseminimum,0
sparsemaximum,0
sparsefill_empty_rows,2
sparseexpand_dims,1
sparsereorder,3
sparseeye,3
sparsecross,0
sparsecross_hashed,0
sparseadd,3
signalrfft3d,2
signalrfft2d,2
signalrfft,6
sparseconcat,5
signalstft,7
signaloverlap_and_add,0
signallinear_to_mel_weight_matrix,2
signalmfccs_from_log_mel_spectrograms,1
signalifft3d,4
signalirfft,6
signalifftshift,0
signalinverse_stft,5
signalifft2d,4
signalirfft3d,2
signalirfft2d,2
signalinverse_stft_window_fn,1
signalhann_window,2
signalifft,15
signalfftshift,0
signalfft3d,3
signalidct,1
signalfft2d,4
signalframe,0
signalhamming_window,0
signalfft,28
signaldct,1
setsunion,0
setssize,0
setsintersection,2
saved_modelSaveOptions,7
saved_modelsave,48
saved_modelcontains_saved_model,3
saved_modelload,118
saved_modelAsset,1
setsdifference,3
randomexperimentalset_global_generator,0
randomexperimentalget_global_generator,0
randomexperimentalGenerator,0
randomexperimentalcreate_rng_state,0
randomuniform,2742
randomuniform_candidate_sampler,0
randomstateless_normal,5
randompoisson,18
randomstateless_uniform,12
randomshuffle,1451
randomset_seed,305
randomstateless_truncated_normal,2
randomstateless_categorical,5
randomtruncated_normal,49
randomlearned_unigram_candidate_sampler,0
randomcategorical,47
randomnormal,1586
randomall_candidate_sampler,0
randomgamma,34
randomfixed_unigram_candidate_sampler,0
randomlog_uniform_candidate_sampler,1
raggedstack_dynamic_partitions,0
raggedstack,0
raggedsegment_ids_to_row_splits,0
raggedrange,4
raggedmap_flat_values,5
raggedconstant,29
raggedrow_splits_to_segment_ids,0
queueQueueBase,0
queueRandomShuffleQueue,0
raggedboolean_mask,1
queuePaddingFIFOQueue,0
quantizationquantized_concat,0
quantizationquantize_and_dequantize,2
queueFIFOQueue,12
quantizationquantize,8
quantizationfake_quant_with_min_max_vars_per_channel_gradient,0
queuePriorityQueue,2
quantizationfake_quant_with_min_max_vars_per_channel,1
quantizationfake_quant_with_min_max_args_gradient,0
quantizationdequantize,2
quantizationfake_quant_with_min_max_vars_gradient,0
quantizationfake_quant_with_min_max_vars,6
nnweighted_moments,7
quantizationfake_quant_with_min_max_args,1
nnwith_space_to_batch,1
nnsoftmax,2482
nnweighted_cross_entropy_with_logits,19
nnspace_to_depth,3
nnsoftmax_cross_entropy_with_logits,670
nnsoftsign,22
nnswish,18
nnscale_regularization_loss,3
nnsufficient_statistics,5
nnsparse_softmax_cross_entropy_with_logits,478
nnselu,20
nnsigmoid_cross_entropy_with_logits,502
nnsampled_softmax_loss,48
nnseparable_conv2d,30
nnsafe_embedding_lookup_sparse,1
nnRNNCellResidualWrapper,0
nnnce_loss,40
nnRNNCellDropoutWrapper,2
nnRNNCellDeviceWrapper,0
nnrelu6,217
nnrelu,6911
nnpool,26
nnnormalize_moments,5
nnmax_pool_with_argmax,22
nnmax_pool,790
nnmax_pool3d,55
nnmax_pool2d,11
nnmax_pool1d,0
nnlog_softmax,206
nnmoments,328
nnlocal_response_normalization,55
nnl2_loss,676
nnfractional_avg_pool,7
nnfractional_max_pool,5
nnlog_poisson_loss,8
nnleaky_relu,389
nnerosion2d,12
nnembedding_lookup_sparse,22
nnembedding_lookup,988
nnelu,165
nndropout,1131
nndilation2d,16
nndepthwise_conv2d_backprop_input,0
nndepthwise_conv2d_backprop_filter,0
nndepth_to_space,12
nndepthwise_conv2d,181
nnconv_transpose,4
nnctc_greedy_decoder,29
nnctc_loss,42
nnctc_beam_search_decoder,35
nnconvolution,66
nnconv3d_transpose,60
nnconv2d_transpose,149
nnconv2d,1180
nnconv3d,138
nnctc_unique_labels,0
nnconv1d_transpose,5
nncrelu,13
nnconv1d,54
nncompute_average_loss,2
nnbatch_norm_with_global_normalization,10
nnbatch_normalization,203
nncompute_accidental_hits,3
nncollapse_repeated,0
nnavg_pool3d,37
nnbias_add,872
nnavg_pool2d,4
nnavg_pool1d,0
nestmap_structure,1057
nestis_nested,31
nnatrous_conv2d_transpose,2
nnatrous_conv2d,44
nestflatten,819
nnavg_pool,290
nestpack_sequence_as,284
mixed_precisionexperimentalDynamicLossScale,0
mlirexperimentalconvert_graph_def,0
mixed_precisionexperimentalFixedLossScale,0
nestassert_same_structure,209
mathzeta,7
mathzero_fraction,5
mathxlogy,12
mathxdivy,2
mixed_precisionexperimentalLossScale,4
mathunsorted_segment_min,4
mathunsorted_segment_mean,8
mathunsorted_segment_sum,73
mathunsorted_segment_sqrt_n,1
mathunsorted_segment_prod,10
mathtruediv,6
mathtop_k,22
mathtan,51
mathunsorted_segment_max,11
mathsubtract,11
mathsquared_difference,99
mathsquare,165
mathtanh,37
mathsqrt,1317
mathsegment_sum,30
mathsegment_prod,4
mathsign,15
mathsigmoid,41
mathsin,224
mathsinh,9
mathsoftplus,92
mathsegment_min,3
mathreduce_sum,88
mathreduce_variance,15
mathround,15
