file_path,api_count,code
matplotlib/3D.py,5,"b""import numpy as np\nimport matplotlib.pyplot as plt\nfrom mpl_toolkits.mplot3d import Axes3D\n\nfig = plt.figure()\nax = Axes3D(fig)\n\nX = np.arange(-4, 4, 0.25)\nY = np.arange(-4, 4, 0.25)\nX, Y = np.meshgrid(X, Y)\nR = np.sqrt(X ** 2 + Y ** 2)\nZ = np.sin(R)\n\nax.plot_surface(X, Y, Z, rstride=1, cstride=1, cmap=plt.get_cmap('rainbow'))\n\nax.contourf(X, Y, Z, zdir='x', offset=-5, cmap=plt.get_cmap('rainbow'))\n\nplt.show()"""
matplotlib/__init__.py,0,b''
matplotlib/annotatesetting.py,3,"b'import matplotlib.pyplot as plt\nimport numpy as np\n\nx = np.linspace(-10, 10, 40)\ny = x + 5\n\nplt.figure()\nplt.plot(x, y, \'b-\')\n\nplt.xticks(np.linspace(-10, 10, 6))\nplt.yticks(np.linspace(-6, 14, 6))\n\nax = plt.gca()\nax.spines[\'right\'].set_color(\'none\')\nax.spines[\'top\'].set_color(\'none\')\n\nax.xaxis.set_ticks_position(\'bottom\')\nax.spines[\'bottom\'].set_position(\'zero\')\n\nax.yaxis.set_ticks_position(\'left\')\nax.spines[\'left\'].set_position(\'zero\')\n\nx0 = 4\ny0 = x0 + 5\nplt.plot([x0, x0], [0, y0], \'k--\', linewidth=2.5)\nplt.scatter([x0], [y0], color=\'k\')\n\nplt.annotate(r\'$(%s,\\ %s)$\' % (x0, y0), xy=(x0, y0),\n             xycoords=\'data\', xytext=(+30, -30),\n             textcoords=\'offset points\', fontsize=16,\n             arrowprops=dict(arrowstyle=\'->\', connectionstyle=""arc3,rad=.1""))\n\nplt.text(2, 14, r\'$y\\ =\\ x\\ +\\ 5$\', fontdict={\'size\': 16, \'color\': \'r\'})\n\nplt.show()'"
matplotlib/axessetting.py,2,"b""import matplotlib.pyplot as plt\nimport numpy as np\n\nx = np.linspace(-10, 10, 40)\ny1 = 10 * x + 50\ny2 = x**2\n\nplt.figure()\nplt.plot(x, y1, 'b-')\nplt.plot(x, y2, 'b--')\nplt.xlim((-20, 20))\nplt.ylim((-60, 160))\nplt.xlabel('I am x')\nplt.ylabel('I am y')\n\nplt.xticks(np.linspace(-20, 20, 5))\nplt.yticks([0, 50, 100], [r'$bad$', r'$normal$', r'$good$'])\n\nboderparameter = plt.gca()\nboderparameter.spines['right'].set_color('none')\nboderparameter.spines['top'].set_color('none')\n\nboderparameter.xaxis.set_ticks_position('top')\n\nboderparameter.spines['left'].set_position(('data',0))\nboderparameter.spines['bottom'].set_position(('data',0))\nboderparameter.xaxis.set_ticks_position('bottom')\nboderparameter.set_xlabel('')\nboderparameter.set_ylabel('')\n\nplt.show()"""
matplotlib/barchart.py,3,"b""import matplotlib.pyplot as plt\nimport numpy as np\n\nn = 12\nX = np.arange(n)\nY1 = np.random.uniform(0.1, 1.0, n)\nY2 = np.random.uniform(0.1, 1.0, n)\n\nplt.bar(X, +Y1)\nplt.bar(X, -Y2)\n\nplt.xlim(-.5, n)\nplt.xticks(())\nplt.ylim(-1.25, 1.25)\nplt.yticks(())\n\nfor x, y in zip(X, Y1):\n    plt.text(x, y + 0.02, '%.2f' % y, ha='center', va='bottom')\n\nfor x, y in zip(X, Y2):\n    plt.text(x, -y - 0.02, '%.2f' % y, ha='center', va='top')\n\nplt.show()\n"""
matplotlib/contours.py,4,"b""import matplotlib.pyplot as plt\nimport numpy as np\n\n\ndef f(x, y):\n    return (1 - x / 2 + x ** 5 + y ** 3) * np.exp(-x ** 2 - y ** 2)\n\n\nn = 256\nx = np.linspace(-3, 3, n)\ny = np.linspace(-3, 3, n)\nX, Y = np.meshgrid(x, y)\n\nplt.contourf(X, Y, f(X, Y), 12, alpha=.9, cmap=plt.cm.coolwarm)\n\nC = plt.contour(X, Y, f(X, Y), 12, colors='black')\n\nplt.clabel(C, inline=True, fontsize=10)\nplt.xticks(())\nplt.yticks(())\n\nplt.show()\n"""
matplotlib/gridsubplot.py,0,"b""import matplotlib.pyplot as plt\nimport matplotlib.gridspec as gridspec\n\n# method 1: subplot2grid\n##########################\nplt.figure()\nax1 = plt.subplot2grid((3, 3), (0, 0), colspan=3)  # stands for axes\nax1.plot([1, 2], [1, 2])\nax1.set_title('ax1_title')\nax2 = plt.subplot2grid((3, 3), (1, 0), colspan=2)\nax3 = plt.subplot2grid((3, 3), (1, 2), rowspan=2)\nax4 = plt.subplot2grid((3, 3), (2, 0))\nax4.scatter([1, 2], [2, 2])\nax4.set_xlabel('ax4_x')\nax4.set_ylabel('ax4_y')\nax5 = plt.subplot2grid((3, 3), (2, 1))\n\n# method 2: gridspec\n#########################\nplt.figure()\ngs = gridspec.GridSpec(3, 3)\n# use index from 0\nax6 = plt.subplot(gs[0, :])\nax7 = plt.subplot(gs[1, :2])\nax8 = plt.subplot(gs[1:, 2])\nax9 = plt.subplot(gs[-1, 0])\nax10 = plt.subplot(gs[-1, -2])\n\n# method 3: easy to define structure\n####################################\nf, ((ax11, ax12), (ax13, ax14)) = plt.subplots(2, 2, sharex=True, sharey=True)\nax11.scatter([1,2], [1,2])\n\nplt.tight_layout()\nplt.show()"""
matplotlib/image.py,1,"b""import matplotlib.pyplot as plt\nimport numpy as np\n\na = np.random.normal(2, 1, 16).reshape(4, 4)\n\nplt.imshow(a, interpolation='nearest', cmap='coolwarm', origin='lower')\n\nplt.colorbar(shrink=.98)\n\nplt.xticks(())\nplt.yticks(())\nplt.show()\n"""
matplotlib/knowfigure.py,3,"b'import matplotlib.pyplot as plt\nimport numpy as np\n\n# example 1\n# x = np.linspace(0, 10, 20)\n# y = x + 1\n#\n# plt.plot(x, y)\n# plt.show()\n\n# example 2\n# x = np.linspace(0, 10, 20)\n# y1 = x + 1\n# y2 = -x + 1\n#\n# plt.plot(x, y1)\n# plt.plot(x, y2)\n# plt.show()\n\n# example 3\nx = np.linspace(0, 10, 20)\ny1 = x + 1\ny2 = -x - 10\nplt.figure()\nplt.plot(x, y1)\nplt.figure(figsize=(9, 6))\nplt.plot(x, y2)\nplt.show()\n\n'"
matplotlib/legendsetting.py,1,"b""import matplotlib.pyplot as plt\nimport numpy as np\n\nx = np.linspace(-10, 10, 40)\ny1 = 10 * x + 50\ny2 = x**2\n\nplt.figure()\nl1, = plt.plot(x, y1, 'b-')\nl2, = plt.plot(x, y2, 'b--')\n\nplt.legend(handles=[l1, l2], labels=[r'$line\\ 1$', r'$line\\ 2$'],  loc='best')\n\nplt.show()"""
