Name,Stars,Forks,Months,TF_version,Torch_version,Np_version
jakevdp/PythonDataScienceHandbook,23898.0,10323.0,48.0,none,none,numpy==1.11.1
donnemartin/data-science-ipython-notebooks,18578.0,5751.0,60.0,none,none,none
numpy/numpy,13929.0,4591.0,120.0,none,none,none
kailashahirwar/cheatsheets-ai,13325.0,3227.0,36.0,none,none,none
MorvanZhou/tutorials,8116.0,4878.0,48.0,none,none,none
Yorko/mlcourse.ai,6935.0,4588.0,36.0,none,none,none
dask/dask,6788.0,1087.0,60.0,none,none,none
bbfamily/abu,6380.0,2391.0,48.0,none,none,none
lanpa/tensorboardX,6345.0,708.0,36.0,none,none,none
lijin-THU/notes-python,5590.0,2737.0,60.0,none,none,none
chainer/chainer,5392.0,1365.0,60.0,none,none,none
numba/numba,5328.0,657.0,96.0,none,none,nnumpy>=1.10
rougier/numpy-100,5303.0,2680.0,72.0,none,none,numpy==1.17.4
google/trax,4397.0,331.0,12.0,none,none,none
cupy/cupy,4171.0,377.0,48.0,none,none,none
biolab/orange3,2287.0,631.0,84.0,none,none,none
iamseancheney/python_for_data_analysis_2nd_chinese_version,2274.0,1076.0,24.0,none,none,none
xtensor-stack/xtensor,1881.0,246.0,48.0,none,none,none
mars-project/mars,1785.0,199.0,24.0,none,none,"b""numpy>=1.14.0"
pydata/xarray,1666.0,550.0,84.0,none,none,nnumpy >= 1.15
yoyoyo-yo/Gasyori100knock,1659.0,923.0,24.0,none,none,none
juliangaal/python-cheat-sheet,1648.0,202.0,36.0,none,none,nnumpy==1.12.1
tangyudi/Ai-Learn,1601.0,456.0,0.0,none,none,none
Kyubyong/numpy_exercises,1423.0,459.0,48.0,none,none,none
rougier/from-python-to-numpy,1390.0,254.0,48.0,none,none,none
quantopian/alphalens,1334.0,441.0,48.0,none,none,none
bangoc123/learn-machine-learning-in-two-months,1310.0,394.0,24.0,none,none,none
tirthajyoti/Machine-Learning-with-Python,1299.0,856.0,36.0,none,none,none
teadocs/numpy-cn,1225.0,285.0,24.0,none,none,none
changwookjun/StudyBook,1185.0,739.0,24.0,none,none,none
bukosabino/ta,1149.0,323.0,24.0,none,none,none
dpilger26/NumCpp,1055.0,173.0,24.0,none,none,none
ajcr/100-pandas-puzzles,1053.0,1076.0,60.0,none,none,nnumpy>=1.17.0
ijl/orjson,986.0,33.0,24.0,none,none,none
huggingface/nlp,991.0,72.0,0.0,none,none,none
ryfeus/lambda-packs,926.0,182.0,48.0,none,none,none
edyoda/data-science-complete-tutorial,882.0,333.0,24.0,none,none,none
carefree0910/MachineLearning,834.0,630.0,48.0,ntensorflow_gpu == 1.4.0,ntorch == 0.2.1+a4fc05a,nnumpy == 1.13.3
arogozhnikov/einops,832.0,26.0,24.0,none,none,none
JuliaPy/PyCall.jl,823.0,143.0,84.0,none,none,none
codebasics/py,824.0,4033.0,60.0,none,none,none
glumpy/glumpy,780.0,134.0,72.0,none,none,none
SkalskiP/ILearnDeepLearning.py,777.0,288.0,24.0,ntensorflow==1.15.2,none,nnumpy==1.14.5
itamarst/eliot,749.0,49.0,72.0,none,none,none
ITCoders/Human-detection-and-Tracking,719.0,277.0,48.0,none,none,none
SciSharp/NumSharp,707.0,128.0,24.0,none,none,none
alyssaq/face_morpher,666.0,183.0,60.0,none,none,none
apachecn/pyda-2e-zh,654.0,246.0,24.0,none,none,none
luispedro/mahotas,623.0,121.0,120.0,none,none,none
rohitrango/automatic-watermark-detection,617.0,261.0,36.0,none,none,none
A3M4/YouTube-Report,612.0,54.0,12.0,none,none,none
pykaldi/pykaldi,602.0,174.0,36.0,none,none,none
CPJKU/madmom,590.0,103.0,60.0,none,none,numpy>=1.13.4
IntelPython/sdc,587.0,58.0,36.0,none,none,numpy>=1.16
pyro-ppl/numpyro,569.0,41.0,12.0,none,none,none
jermwatt/machine_learning_refined,564.0,233.0,48.0,none,none,none
napari/napari,563.0,109.0,24.0,none,none,none
PhantomInsights/baby-names-analysis,555.0,69.0,12.0,none,none,none
pptacher/probabilistic_robotics,543.0,221.0,24.0,none,none,none
emadboctorx/yolov3-keras-tf2,536.0,90.0,0.0,ntensorflow-addons==0.10.0',none,nnumpy==1.18.2
Kyubyong/tensorflow-exercises,533.0,181.0,48.0,none,none,none
pydata/bottleneck,512.0,60.0,120.0,none,none,none
dadadel/pyment,480.0,42.0,72.0,none,none,none
wkentaro/pytorch-for-numpy-users,466.0,57.0,36.0,none,none,none
PhantomInsights/mexican-government-report,444.0,62.0,12.0,none,none,none
firmai/pandapy,404.0,27.0,0.0,none,none,none
gboeing/pynamical,398.0,78.0,72.0,none,none,nnumpy>=1.15
Andrewnetwork/WorkshopScipy,394.0,44.0,36.0,none,none,none
blue-yonder/turbodbc,393.0,51.0,48.0,none,none,none
ahmedfgad/NumPyCNN,371.0,163.0,24.0,none,none,none
thombashi/pytablewriter,370.0,30.0,48.0,none,none,none
versilov/matrex,365.0,23.0,24.0,none,none,none
Tixierae/deep_learning_NLP,359.0,98.0,36.0,none,none,none
SALib/SALib,352.0,124.0,84.0,none,none,numpy>=1.9.0
ruddra/docker-django,324.0,99.0,48.0,none,none,none
PyO3/rust-numpy,317.0,37.0,36.0,none,none,none
shreyans29/thesemicolon,316.0,365.0,36.0,none,none,none
moble/quaternion,311.0,52.0,72.0,none,none,numpy>=1.13
kymatio/kymatio,304.0,58.0,24.0,none,none,none
rougier/numpy-tutorial,304.0,109.0,60.0,none,none,none
pydata/sparse,300.0,60.0,36.0,none,none,none
trekhleb/machine-learning-experiments,295.0,50.0,12.0,ntensorflow-metadata==0.21.1,none,nnumpy==1.17.4
bat67/pytorch-tutorials-examples-and-books,288.0,123.0,24.0,none,none,none
capitanov/dsp-theory,284.0,55.0,12.0,none,none,numpy==1.17.3
scikit-hep/uproot,280.0,58.0,36.0,none,none,numpy>=1.13.1
amarlearning/Finger-Detection-and-Tracking,267.0,120.0,24.0,none,none,none
WoLpH/numpy-stl,266.0,63.0,72.0,none,none,none
dranjan/python-plyfile,257.0,53.0,72.0,none,none,none
alpacahq/example-hftish,255.0,96.0,12.0,none,none,none
adamlwgriffiths/Pyrr,252.0,39.0,96.0,none,none,none
yizt/numpy_neural_network,250.0,67.0,24.0,none,none,none
bamos/block,248.0,25.0,36.0,none,none,none
opendatacube/datacube-core,236.0,111.0,60.0,none,none,none
vrasneur/pyfasttext,230.0,31.0,36.0,none,none,none
tirthajyoti/Stats-Maths-with-Python,218.0,131.0,36.0,none,none,none
leandromineti/ml-feynman-experience,212.0,12.0,24.0,none,none,none
ahmedbesbes/Neural-Network-from-scratch,211.0,46.0,24.0,none,none,none
tdegeus/pybind11_examples,208.0,32.0,36.0,none,none,none
sergree/matchering,208.0,35.0,24.0,none,none,numpy>=1.17.0
jayboxyz/deeplearning_cv_notes,202.0,79.0,24.0,none,none,none
bh107/bohrium,197.0,33.0,60.0,none,none,none
ahmedfgad/GeneticAlgorithmPython,195.0,125.0,24.0,none,none,none
lb2281075105/Python-WeChat-ItChat,193.0,82.0,24.0,none,none,none
ritchieng/deep-learning-wizard,194.0,89.0,24.0,none,none,none
mimoralea/gdrl,190.0,50.0,24.0,none,none,none
rootpy/rootpy,185.0,70.0,96.0,none,none,none
kakul/Alyn,177.0,68.0,48.0,none,none,none
scikit-hep/awkward-array,175.0,33.0,24.0,none,none,numpy>=1.13.1
wizardforcel/data-science-notebook,175.0,74.0,36.0,none,none,none
ofnote/tsalib,171.0,9.0,24.0,none,none,none
swcarpentry/python-novice-inflammation,169.0,578.0,72.0,none,none,none
42-AI/bootcamp_python,169.0,42.0,12.0,none,none,none
pytroll/pyresample,164.0,67.0,72.0,none,none,none
fwilliams/point-cloud-utils,164.0,18.0,24.0,none,none,none
stestagg/pytubes,161.0,14.0,24.0,none,none,none
nigma/pywt,159.0,74.0,120.0,none,none,none
alyssaq/3Dreconstruction,159.0,61.0,36.0,none,none,none
python-windrose/windrose,155.0,77.0,60.0,none,none,none
zhuzilin/NP_ML,155.0,53.0,24.0,none,none,none
scikit-signal/tftb,155.0,43.0,72.0,none,none,none
fuatbeser/python-notlarim,154.0,34.0,24.0,none,none,none
wkcn/MobulaOP,152.0,19.0,24.0,none,none,none
khanhnamle1994/fashion-recommendation,149.0,54.0,12.0,none,none,none
InvestmentSystems/static-frame,147.0,18.0,24.0,none,none,nnumpy>=1.16.5
doodyparizada/word2vec-spam-filter,147.0,15.0,36.0,none,none,none
explosion/cython-blis,146.0,17.0,36.0,none,none,none
NLP-kr/tensorflow-ml-nlp,144.0,103.0,24.0,b'tensorflow>=1.10,none,none
alanmarazzi/panthera,143.0,10.0,12.0,none,none,none
kunalj101/Data-Science-Hacks,146.0,97.0,0.0,none,none,none
mantidproject/mantid,140.0,84.0,108.0,none,none,none
psi4/psi4numpy,139.0,94.0,72.0,none,none,none
corazzon/OpenDataWrangling,135.0,92.0,24.0,none,none,none
stb-tester/stb-tester,133.0,83.0,96.0,none,none,none
jasonleaster/FaceDetection,132.0,64.0,48.0,none,none,none
zziz/kalman-filter,131.0,42.0,24.0,none,none,none
Stewori/JyNI,128.0,14.0,84.0,none,none,none
pyro-ppl/funsor,127.0,10.0,12.0,none,none,none
qg0/cheatsheets.pdf,125.0,74.0,36.0,none,none,none
scikit-hep/root_numpy,125.0,52.0,96.0,none,none,none
prusa3d/PrusaControl,124.0,51.0,60.0,none,none,none
rasbt/One-Python-benchmark-per-day,124.0,30.0,72.0,none,none,none
team-ocean/veros,124.0,19.0,36.0,none,none,nnumpy==1.18.5
nicklashansen/rnn_lstm_from_scratch,125.0,28.0,12.0,none,none,none
