file_path,api_count,code
__init__.py,0,b'\n'
run.py,0,"b""import argparse\nimport logging\nimport sys\nimport time\n\nfrom tf_pose import common\nimport cv2\nimport numpy as np\nfrom tf_pose.estimator import TfPoseEstimator\nfrom tf_pose.networks import get_graph_path, model_wh\n\nlogger = logging.getLogger('TfPoseEstimatorRun')\nlogger.handlers.clear()\nlogger.setLevel(logging.DEBUG)\nch = logging.StreamHandler()\nch.setLevel(logging.DEBUG)\nformatter = logging.Formatter('[%(asctime)s] [%(name)s] [%(levelname)s] %(message)s')\nch.setFormatter(formatter)\nlogger.addHandler(ch)\n\n\nif __name__ == '__main__':\n    parser = argparse.ArgumentParser(description='tf-pose-estimation run')\n    parser.add_argument('--image', type=str, default='./images/p1.jpg')\n    parser.add_argument('--model', type=str, default='cmu',\n                        help='cmu / mobilenet_thin / mobilenet_v2_large / mobilenet_v2_small')\n    parser.add_argument('--resize', type=str, default='0x0',\n                        help='if provided, resize images before they are processed. '\n                             'default=0x0, Recommends : 432x368 or 656x368 or 1312x736 ')\n    parser.add_argument('--resize-out-ratio', type=float, default=4.0,\n                        help='if provided, resize heatmaps before they are post-processed. default=1.0')\n\n    args = parser.parse_args()\n\n    w, h = model_wh(args.resize)\n    if w == 0 or h == 0:\n        e = TfPoseEstimator(get_graph_path(args.model), target_size=(432, 368))\n    else:\n        e = TfPoseEstimator(get_graph_path(args.model), target_size=(w, h))\n\n    # estimate human poses from a single image !\n    image = common.read_imgfile(args.image, None, None)\n    if image is None:\n        logger.error('Image can not be read, path=%s' % args.image)\n        sys.exit(-1)\n\n    t = time.time()\n    humans = e.inference(image, resize_to_default=(w > 0 and h > 0), upsample_size=args.resize_out_ratio)\n    elapsed = time.time() - t\n\n    logger.info('inference image: %s in %.4f seconds.' % (args.image, elapsed))\n\n    image = TfPoseEstimator.draw_humans(image, humans, imgcopy=False)\n\n    try:\n        import matplotlib.pyplot as plt\n\n        fig = plt.figure()\n        a = fig.add_subplot(2, 2, 1)\n        a.set_title('Result')\n        plt.imshow(cv2.cvtColor(image, cv2.COLOR_BGR2RGB))\n\n        bgimg = cv2.cvtColor(image.astype(np.uint8), cv2.COLOR_BGR2RGB)\n        bgimg = cv2.resize(bgimg, (e.heatMat.shape[1], e.heatMat.shape[0]), interpolation=cv2.INTER_AREA)\n\n        # show network output\n        a = fig.add_subplot(2, 2, 2)\n        plt.imshow(bgimg, alpha=0.5)\n        tmp = np.amax(e.heatMat[:, :, :-1], axis=2)\n        plt.imshow(tmp, cmap=plt.cm.gray, alpha=0.5)\n        plt.colorbar()\n\n        tmp2 = e.pafMat.transpose((2, 0, 1))\n        tmp2_odd = np.amax(np.absolute(tmp2[::2, :, :]), axis=0)\n        tmp2_even = np.amax(np.absolute(tmp2[1::2, :, :]), axis=0)\n\n        a = fig.add_subplot(2, 2, 3)\n        a.set_title('Vectormap-x')\n        # plt.imshow(CocoPose.get_bgimg(inp, target_size=(vectmap.shape[1], vectmap.shape[0])), alpha=0.5)\n        plt.imshow(tmp2_odd, cmap=plt.cm.gray, alpha=0.5)\n        plt.colorbar()\n\n        a = fig.add_subplot(2, 2, 4)\n        a.set_title('Vectormap-y')\n        # plt.imshow(CocoPose.get_bgimg(inp, target_size=(vectmap.shape[1], vectmap.shape[0])), alpha=0.5)\n        plt.imshow(tmp2_even, cmap=plt.cm.gray, alpha=0.5)\n        plt.colorbar()\n        plt.show()\n    except Exception as e:\n        logger.warning('matplitlib error, %s' % e)\n        cv2.imshow('result', image)\n        cv2.waitKey()\n"""
run_checkpoint.py,11,"b'import argparse\nimport logging\nimport os\n\nimport tensorflow as tf\nfrom tf_pose.networks import get_network, model_wh, _get_base_path\n\nlogging.basicConfig(level=logging.INFO, format=\'%(asctime)s %(levelname)s %(message)s\')\n\nconfig = tf.ConfigProto()\nconfig.gpu_options.allocator_type = \'BFC\'\nconfig.gpu_options.per_process_gpu_memory_fraction = 0.95\nconfig.gpu_options.allow_growth = True\n\n\nif __name__ == \'__main__\':\n    """"""\n    Use this script to just save graph and checkpoint.\n    While training, checkpoints are saved. You can test them with this python code.\n    """"""\n    parser = argparse.ArgumentParser(description=\'Tensorflow Pose Estimation Graph Extractor\')\n    parser.add_argument(\'--model\', type=str, default=\'cmu\', help=\'cmu / mobilenet / mobilenet_thin / mobilenet_v2_large / mobilenet_v2_small\')\n    parser.add_argument(\'--resize\', type=str, default=\'0x0\')\n    parser.add_argument(\'--quantize\', action=\'store_true\')\n    args = parser.parse_args()\n\n    w, h = model_wh(args.resize)\n    if w <= 0 or h <= 0:\n        w = h = None\n    print(w, h)\n    input_node = tf.placeholder(tf.float32, shape=(None, h, w, 3), name=\'image\')\n\n    net, pretrain_path, last_layer = get_network(args.model, input_node, None, trainable=False)\n    if args.quantize:\n        g = tf.get_default_graph()\n        tf.contrib.quantize.create_eval_graph(input_graph=g)\n\n    with tf.Session(config=config) as sess:\n        loader = tf.train.Saver(net.restorable_variables())\n        loader.restore(sess, pretrain_path)\n\n        tf.train.write_graph(sess.graph_def, \'./tmp\', \'graph.pb\', as_text=True)\n\n        flops = tf.profiler.profile(None, cmd=\'graph\', options=tf.profiler.ProfileOptionBuilder.float_operation())\n        print(\'FLOP = \', flops.total_float_ops / float(1e6))\n\n        # graph = tf.get_default_graph()\n        # for n in tf.get_default_graph().as_graph_def().node:\n        #     if \'concat_stage\' not in n.name:\n        #         continue\n        #     print(n.name)\n\n        # saver = tf.train.Saver(max_to_keep=100)\n        # saver.save(sess, \'./tmp/chk\', global_step=1)\n'"
run_directory.py,0,"b""import argparse\nimport logging\nimport time\nimport glob\nimport ast\nimport os\nimport dill\n\nimport common\nimport cv2\nimport numpy as np\nfrom estimator import TfPoseEstimator\nfrom networks import get_graph_path, model_wh\n\nfrom lifting.prob_model import Prob3dPose\nfrom lifting.draw import plot_pose\n\nlogger = logging.getLogger('TfPoseEstimator')\nlogger.setLevel(logging.DEBUG)\nch = logging.StreamHandler()\nch.setLevel(logging.DEBUG)\nformatter = logging.Formatter('[%(asctime)s] [%(name)s] [%(levelname)s] %(message)s')\nch.setFormatter(formatter)\nlogger.addHandler(ch)\n\n\nif __name__ == '__main__':\n    parser = argparse.ArgumentParser(description='tf-pose-estimation run by folder')\n    parser.add_argument('--folder', type=str, default='./images/')\n    parser.add_argument('--resolution', type=str, default='432x368', help='network input resolution. default=432x368')\n    parser.add_argument('--model', type=str, default='cmu', help='cmu / mobilenet_thin / mobilenet_v2_large / mobilenet_v2_small')\n    parser.add_argument('--scales', type=str, default='[None]', help='for multiple scales, eg. [1.0, (1.1, 0.05)]')\n    args = parser.parse_args()\n    scales = ast.literal_eval(args.scales)\n\n    w, h = model_wh(args.resolution)\n    e = TfPoseEstimator(get_graph_path(args.model), target_size=(w, h))\n\n    files_grabbed = glob.glob(os.path.join(args.folder, '*.jpg'))\n    all_humans = dict()\n    for i, file in enumerate(files_grabbed):\n        # estimate human poses from a single image !\n        image = common.read_imgfile(file, None, None)\n        t = time.time()\n        humans = e.inference(image, scales=scales)\n        elapsed = time.time() - t\n\n        logger.info('inference image #%d: %s in %.4f seconds.' % (i, file, elapsed))\n\n        image = TfPoseEstimator.draw_humans(image, humans, imgcopy=False)\n        cv2.imshow('tf-pose-estimation result', image)\n        cv2.waitKey(5)\n\n        all_humans[file.replace(args.folder, '')] = humans\n\n    with open(os.path.join(args.folder, 'pose.dil'), 'wb') as f:\n        dill.dump(all_humans, f, protocol=dill.HIGHEST_PROTOCOL)\n"""
run_video.py,0,"b'import argparse\nimport logging\nimport time\n\nimport cv2\nimport numpy as np\n\nfrom tf_pose.estimator import TfPoseEstimator\nfrom tf_pose.networks import get_graph_path, model_wh\n\nlogger = logging.getLogger(\'TfPoseEstimator-Video\')\nlogger.setLevel(logging.DEBUG)\nch = logging.StreamHandler()\nch.setLevel(logging.DEBUG)\nformatter = logging.Formatter(\'[%(asctime)s] [%(name)s] [%(levelname)s] %(message)s\')\nch.setFormatter(formatter)\nlogger.addHandler(ch)\n\nfps_time = 0\n\n\nif __name__ == \'__main__\':\n    parser = argparse.ArgumentParser(description=\'tf-pose-estimation Video\')\n    parser.add_argument(\'--video\', type=str, default=\'\')\n    parser.add_argument(\'--resolution\', type=str, default=\'432x368\', help=\'network input resolution. default=432x368\')\n    parser.add_argument(\'--model\', type=str, default=\'mobilenet_thin\', help=\'cmu / mobilenet_thin / mobilenet_v2_large / mobilenet_v2_small\')\n    parser.add_argument(\'--show-process\', type=bool, default=False,\n                        help=\'for debug purpose, if enabled, speed for inference is dropped.\')\n    parser.add_argument(\'--showBG\', type=bool, default=True, help=\'False to show skeleton only.\')\n    args = parser.parse_args()\n\n    logger.debug(\'initialization %s : %s\' % (args.model, get_graph_path(args.model)))\n    w, h = model_wh(args.resolution)\n    e = TfPoseEstimator(get_graph_path(args.model), target_size=(w, h))\n    cap = cv2.VideoCapture(args.video)\n\n    if cap.isOpened() is False:\n        print(""Error opening video stream or file"")\n    while cap.isOpened():\n        ret_val, image = cap.read()\n\n        humans = e.inference(image)\n        if not args.showBG:\n            image = np.zeros(image.shape)\n        image = TfPoseEstimator.draw_humans(image, humans, imgcopy=False)\n\n        cv2.putText(image, ""FPS: %f"" % (1.0 / (time.time() - fps_time)), (10, 10),  cv2.FONT_HERSHEY_SIMPLEX, 0.5, (0, 255, 0), 2)\n        cv2.imshow(\'tf-pose-estimation result\', image)\n        fps_time = time.time()\n        if cv2.waitKey(1) == 27:\n            break\n\n    cv2.destroyAllWindows()\nlogger.debug(\'finished+\')\n'"
run_webcam.py,0,"b'import argparse\nimport logging\nimport time\n\nimport cv2\nimport numpy as np\n\nfrom tf_pose.estimator import TfPoseEstimator\nfrom tf_pose.networks import get_graph_path, model_wh\n\nlogger = logging.getLogger(\'TfPoseEstimator-WebCam\')\nlogger.setLevel(logging.DEBUG)\nch = logging.StreamHandler()\nch.setLevel(logging.DEBUG)\nformatter = logging.Formatter(\'[%(asctime)s] [%(name)s] [%(levelname)s] %(message)s\')\nch.setFormatter(formatter)\nlogger.addHandler(ch)\n\nfps_time = 0\n\ndef str2bool(v):\n    return v.lower() in (""yes"", ""true"", ""t"", ""1"")\n\n\nif __name__ == \'__main__\':\n    parser = argparse.ArgumentParser(description=\'tf-pose-estimation realtime webcam\')\n    parser.add_argument(\'--camera\', type=int, default=0)\n\n    parser.add_argument(\'--resize\', type=str, default=\'0x0\',\n                        help=\'if provided, resize images before they are processed. default=0x0, Recommends : 432x368 or 656x368 or 1312x736 \')\n    parser.add_argument(\'--resize-out-ratio\', type=float, default=4.0,\n                        help=\'if provided, resize heatmaps before they are post-processed. default=1.0\')\n\n    parser.add_argument(\'--model\', type=str, default=\'mobilenet_thin\', help=\'cmu / mobilenet_thin / mobilenet_v2_large / mobilenet_v2_small\')\n    parser.add_argument(\'--show-process\', type=bool, default=False,\n                        help=\'for debug purpose, if enabled, speed for inference is dropped.\')\n    \n    parser.add_argument(\'--tensorrt\', type=str, default=""False"",\n                        help=\'for tensorrt process.\')\n    args = parser.parse_args()\n\n    logger.debug(\'initialization %s : %s\' % (args.model, get_graph_path(args.model)))\n    w, h = model_wh(args.resize)\n    if w > 0 and h > 0:\n        e = TfPoseEstimator(get_graph_path(args.model), target_size=(w, h), trt_bool=str2bool(args.tensorrt))\n    else:\n        e = TfPoseEstimator(get_graph_path(args.model), target_size=(432, 368), trt_bool=str2bool(args.tensorrt))\n    logger.debug(\'cam read+\')\n    cam = cv2.VideoCapture(args.camera)\n    ret_val, image = cam.read()\n    logger.info(\'cam image=%dx%d\' % (image.shape[1], image.shape[0]))\n\n    while True:\n        ret_val, image = cam.read()\n\n        logger.debug(\'image process+\')\n        humans = e.inference(image, resize_to_default=(w > 0 and h > 0), upsample_size=args.resize_out_ratio)\n\n        logger.debug(\'postprocess+\')\n        image = TfPoseEstimator.draw_humans(image, humans, imgcopy=False)\n\n        logger.debug(\'show+\')\n        cv2.putText(image,\n                    ""FPS: %f"" % (1.0 / (time.time() - fps_time)),\n                    (10, 10),  cv2.FONT_HERSHEY_SIMPLEX, 0.5,\n                    (0, 255, 0), 2)\n        cv2.imshow(\'tf-pose-estimation result\', image)\n        fps_time = time.time()\n        if cv2.waitKey(1) == 27:\n            break\n        logger.debug(\'finished+\')\n\n    cv2.destroyAllWindows()\n'"
setup.py,0,"b'from __future__ import absolute_import\nfrom __future__ import division\nfrom __future__ import print_function\n\nimport os\nimport subprocess\nimport setuptools\nfrom distutils.core import setup, Extension\n\nimport numpy as np\n\n_VERSION = \'0.1.1\'\n\ncwd = os.path.dirname(os.path.abspath(__file__))\nsubprocess.check_output([""bash"", ""models/graph/cmu/download.sh""], cwd=cwd)\n\nPOSE_DIR = os.path.realpath(os.path.dirname(__file__))\n\nREQUIRED_PACKAGES = [\n    \'argparse>=1.1\',\n    \'dill==0.2.7.1\',\n    \'fire >= 0.1.3\',\n    \'matplotlib >= 2.2.2\',\n    \'psutil >= 5.4.5\',\n    \'requests >= 2.18.4\',\n    \'scikit-image >= 0.13.1\',\n    \'scipy >= 1.1.0\',\n    \'slidingwindow >= 0.0.13\',\n    \'tqdm >= 4.23.4\',\n    \'tensorpack >= 0.8.5\',\n    \'pycocotools\'\n]\n\nDEPENDENCY_LINKS = [\n    \'git+https://github.com/ppwwyyxx/tensorpack.git#egg=tensorpack\',\n]\n\nEXT = Extension(\'_pafprocess\',\n                sources=[\n                    \'tf_pose/pafprocess/pafprocess_wrap.cpp\',\n                    \'tf_pose/pafprocess/pafprocess.cpp\',\n                ],\n                swig_opts=[\'-c++\'],\n                include_dirs=[np.get_include()])\n\nsetuptools.setup(\n    name=\'tf-pose\',\n    version=_VERSION,\n    description=\n    \'Deep Pose Estimation implemented using Tensorflow with Custom Architectures for fast inference.\',\n    install_requires=REQUIRED_PACKAGES,\n    dependency_links=DEPENDENCY_LINKS,\n    url=\'https://github.com/ildoonet/tf-pose-estimation/\',\n    author=\'Ildoo Kim\',\n    author_email=\'ildoo@ildoo.net\',\n    license=\'Apache License 2.0\',\n    package_dir={\'tf_pose_data\': \'models\'},\n    packages=[\'tf_pose_data\'] +\n             [pkg_name for pkg_name in setuptools.find_packages()  # main package\n              if \'tf_pose\' in pkg_name],\n    ext_modules=[EXT],\n    package_data={\'tf_pose_data\': [\'graph/cmu/graph_opt.pb\',\n                                   \'graph/mobilenet_thin/graph_opt.pb\']},\n    py_modules=[\n        ""pafprocess""\n    ],\n    zip_safe=False)\n'"
models/__init__.py,0,b''
scripts/broadcaster_ros.py,0,"b'#!/usr/bin/env python\nimport time\nimport os\nimport sys\nimport ast\n\nfrom threading import Lock\nimport rospy\nimport rospkg\nfrom cv_bridge import CvBridge, CvBridgeError\nfrom std_msgs.msg import String\nfrom sensor_msgs.msg import Image\nfrom tfpose_ros.msg import Persons, Person, BodyPartElm\n\nfrom tf_pose.estimator import TfPoseEstimator\nfrom tf_pose.networks import model_wh, get_graph_path\n\n\ndef humans_to_msg(humans):\n    persons = Persons()\n\n    for human in humans:\n        person = Person()\n\n        for k in human.body_parts:\n            body_part = human.body_parts[k]\n\n            body_part_msg = BodyPartElm()\n            body_part_msg.part_id = body_part.part_idx\n            body_part_msg.x = body_part.x\n            body_part_msg.y = body_part.y\n            body_part_msg.confidence = body_part.score\n            person.body_part.append(body_part_msg)\n        persons.persons.append(person)\n\n    return persons\n\n\ndef callback_image(data):\n    # et = time.time()\n    try:\n        cv_image = cv_bridge.imgmsg_to_cv2(data, ""bgr8"")\n    except CvBridgeError as e:\n        rospy.logerr(\'[tf-pose-estimation] Converting Image Error. \' + str(e))\n        return\n\n    acquired = tf_lock.acquire(False)\n    if not acquired:\n        return\n\n    try:\n        humans = pose_estimator.inference(cv_image, resize_to_default=True, upsample_size=resize_out_ratio)\n    finally:\n        tf_lock.release()\n\n    msg = humans_to_msg(humans)\n    msg.image_w = data.width\n    msg.image_h = data.height\n    msg.header = data.header\n\n    pub_pose.publish(msg)\n\n\nif __name__ == \'__main__\':\n    rospy.loginfo(\'initialization+\')\n    rospy.init_node(\'TfPoseEstimatorROS\', anonymous=True, log_level=rospy.INFO)\n\n    # parameters\n    image_topic = rospy.get_param(\'~camera\', \'\')\n    model = rospy.get_param(\'~model\', \'cmu\')\n\n    resolution = rospy.get_param(\'~resolution\', \'432x368\')\n    resize_out_ratio = float(rospy.get_param(\'~resize_out_ratio\', \'4.0\'))\n    tf_lock = Lock()\n\n    if not image_topic:\n        rospy.logerr(\'Parameter \\\'camera\\\' is not provided.\')\n        sys.exit(-1)\n\n    try:\n        w, h = model_wh(resolution)\n        graph_path = get_graph_path(model)\n\n        rospack = rospkg.RosPack()\n        graph_path = os.path.join(rospack.get_path(\'tfpose_ros\'), graph_path)\n    except Exception as e:\n        rospy.logerr(\'invalid model: %s, e=%s\' % (model, e))\n        sys.exit(-1)\n\n    pose_estimator = TfPoseEstimator(graph_path, target_size=(w, h))\n    cv_bridge = CvBridge()\n\n    rospy.Subscriber(image_topic, Image, callback_image, queue_size=1, buff_size=2**24)\n    pub_pose = rospy.Publisher(\'~pose\', Persons, queue_size=1)\n\n    rospy.loginfo(\'start+\')\n    rospy.spin()\n    rospy.loginfo(\'finished\')\n'"
scripts/visualization.py,0,"b'#!/usr/bin/env python\nimport time\nimport cv2\nimport rospy\nfrom sensor_msgs.msg import Image\nfrom cv_bridge import CvBridge, CvBridgeError\n\nfrom tfpose_ros.msg import Persons, Person, BodyPartElm\nfrom tf_pose.estimator import Human, BodyPart, TfPoseEstimator\n\n\nclass VideoFrames:\n    """"""\n    Reference : ros-video-recorder\n    https://github.com/ildoonet/ros-video-recorder/blob/master/scripts/recorder.py\n    """"""\n    def __init__(self, image_topic):\n        self.image_sub = rospy.Subscriber(image_topic, Image, self.callback_image, queue_size=1)\n        self.bridge = CvBridge()\n        self.frames = []\n\n    def callback_image(self, data):\n        try:\n            cv_image = self.bridge.imgmsg_to_cv2(data, ""bgr8"")\n        except CvBridgeError as e:\n            rospy.logerr(\'Converting Image Error. \' + str(e))\n            return\n\n        self.frames.append((data.header.stamp, cv_image))\n\n    def get_latest(self, at_time, remove_older=True):\n        fs = [x for x in self.frames if x[0] <= at_time]\n        if len(fs) == 0:\n            return None\n\n        f = fs[-1]\n        if remove_older:\n            self.frames = self.frames[len(fs) - 1:]\n\n        return f[1]\n\n\ndef cb_pose(data):\n    # get image with pose time\n    t = data.header.stamp\n    image = vf.get_latest(t, remove_older=True)\n    if image is None:\n        rospy.logwarn(\'No received images.\')\n        return\n\n    h, w = image.shape[:2]\n    if resize_ratio > 0:\n        image = cv2.resize(image, (int(resize_ratio*w), int(resize_ratio*h)), interpolation=cv2.INTER_LINEAR)\n\n    # ros topic to Person instance\n    humans = []\n    for p_idx, person in enumerate(data.persons):\n        human = Human([])\n        for body_part in person.body_part:\n            part = BodyPart(\'\', body_part.part_id, body_part.x, body_part.y, body_part.confidence)\n            human.body_parts[body_part.part_id] = part\n\n        humans.append(human)\n\n    # draw\n    image = TfPoseEstimator.draw_humans(image, humans, imgcopy=False)\n    pub_img.publish(cv_bridge.cv2_to_imgmsg(image, \'bgr8\'))\n\n\nif __name__ == \'__main__\':\n    rospy.loginfo(\'initialization+\')\n    rospy.init_node(\'TfPoseEstimatorROS-Visualization\', anonymous=True)\n\n    # topics params\n    image_topic = rospy.get_param(\'~camera\', \'\')\n    pose_topic = rospy.get_param(\'~pose\', \'/pose_estimator/pose\')\n\n    resize_ratio = float(rospy.get_param(\'~resize_ratio\', \'-1\'))\n\n    # publishers\n    pub_img = rospy.Publisher(\'~output\', Image, queue_size=1)\n\n    # initialization\n    cv_bridge = CvBridge()\n    vf = VideoFrames(image_topic)\n    rospy.wait_for_message(image_topic, Image, timeout=30)\n\n    # subscribers\n    rospy.Subscriber(pose_topic, Persons, cb_pose, queue_size=1)\n\n    # run\n    rospy.spin()\n'"
