file_path,api_count,code
setup.py,0,"b'import setuptools\n\nwith open(""README.md"", ""r"") as fh:\n    long_description = fh.read()\n\n# Requirements for testing and development\nextras_require_dev = [\n    ""pytest > 3.8"",\n    ""pytest-cov ~= 2.8"",\n]\n\nextras_require_with_hooks = [""record-keeper >= 0.9.25"", ""faiss-gpu >= 1.6.3"", ""tensorboard""]\nextras_require_with_hooks_cpu = [""record-keeper >= 0.9.25"", ""faiss-cpu >= 1.6.3"", ""tensorboard""]\n\nsetuptools.setup(\n    name=""pytorch-metric-learning"",\n    version=""0.9.87.dev4"",\n    author=""Kevin Musgrave"",\n    author_email=""tkm45@cornell.edu"",\n    description=""The easiest way to use deep metric learning in your application. Modular, flexible, and extensible. Written in PyTorch."",\n    long_description=long_description,\n    long_description_content_type=""text/markdown"",\n    url=""https://github.com/KevinMusgrave/pytorch-metric-learning"",\n    package_dir={"""": ""src""},\n    packages=setuptools.find_packages(where=""src""),\n    classifiers=[\n        ""Programming Language :: Python :: 3"",\n        ""License :: OSI Approved :: MIT License"",\n        ""Operating System :: OS Independent"",\n    ],\n    python_requires=\'>=3.0\',\n    install_requires=[\n          \'numpy\',\n          \'scikit-learn\',\n          \'tqdm\',\n          \'torch\',\n          \'torchvision\',\n    ],\n    extras_require={\n        ""dev"": extras_require_dev,\n        ""with-hooks"": extras_require_with_hooks,\n        ""with-hooks-cpu"": extras_require_with_hooks_cpu\n    },\n)'"
tests/__init__.py,0,b''
src/pytorch_metric_learning/__init__.py,0,"b'__version__ = ""0.9.87.dev4""'"
tests/losses/__init__.py,0,b''
tests/losses/test_angular_loss.py,9,"b'import unittest\nimport torch\nimport numpy as np\nfrom pytorch_metric_learning.losses import AngularLoss\nfrom pytorch_metric_learning.utils import common_functions as c_f\n\nclass TestAngularLoss(unittest.TestCase):\n    def test_angular_loss(self):\n        loss_func = AngularLoss(alpha=40)\n        embedding_angles = [0, 20, 40, 60, 80]\n        embeddings = torch.FloatTensor([c_f.angle_to_coord(a) for a in embedding_angles]) #2D embeddings\n        labels = torch.LongTensor([0, 0, 1, 1, 2])\n\n        loss = loss_func(embeddings, labels)\n        sq_tan_alpha = torch.tan(torch.tensor(np.radians(40)))**2\n        triplets = [(0,1,2), (0,1,3), (0,1,4), (1,0,2), (1,0,3), (1,0,4), (2,3,0), (2,3,1), (2,3,4), (3,2,0), (3,2,1), (3,2,4)]\n\n        correct_losses = [0,0,0,0]\n        for a, p, n in triplets:\n            anchor, positive, negative = embeddings[a], embeddings[p], embeddings[n]\n            exponent = 4*sq_tan_alpha*torch.matmul(anchor+positive,negative) - 2*(1+sq_tan_alpha)*torch.matmul(anchor, positive)\n            correct_losses[a] += torch.exp(exponent)\n        total_loss = 0\n        for c in correct_losses:\n            total_loss += torch.log(1+c)\n        total_loss /= len(correct_losses)\n        self.assertTrue(torch.isclose(loss, total_loss))\n\n\n    def test_with_no_valid_triplets(self):\n        loss_func = AngularLoss(alpha=40)\n        embedding_angles = [0, 20, 40, 60, 80]\n        embeddings = torch.FloatTensor([c_f.angle_to_coord(a) for a in embedding_angles]) #2D embeddings\n        labels = torch.LongTensor([0, 1, 2, 3, 4])\n        loss = loss_func(embeddings, labels)\n        self.assertEqual(loss, 0)'"
tests/losses/test_arcface_loss.py,7,"b'import unittest\nimport torch\nimport numpy as np\nfrom pytorch_metric_learning.losses import ArcFaceLoss\nfrom pytorch_metric_learning.utils import common_functions as c_f\n\nclass TestArcFaceLoss(unittest.TestCase):\n    def test_arcface_loss(self):\n        margin = 30\n        scale = 64\n        loss_func = ArcFaceLoss(margin=margin, scale=scale, num_classes=10, embedding_size=2)\n\n        embedding_angles = [0, 20, 40, 60, 80]\n        embeddings = torch.FloatTensor([c_f.angle_to_coord(a) for a in embedding_angles]) #2D embeddings\n        labels = torch.LongTensor([0, 0, 1, 1, 2])\n\n        loss = loss_func(embeddings, labels)\n\n        weights = torch.nn.functional.normalize(loss_func.W, p=2, dim=0)\n        logits = torch.matmul(embeddings, weights)\n        for i, c in enumerate(labels):\n            logits[i, c] = torch.cos(torch.acos(logits[i, c]) + torch.tensor(np.radians(margin)))\n        \n        correct_loss = torch.nn.functional.cross_entropy(logits*scale, labels)\n        self.assertTrue(torch.isclose(loss, correct_loss))'"
tests/losses/test_contrastive_loss.py,12,"b'import unittest\nimport torch\nfrom pytorch_metric_learning.losses import ContrastiveLoss\nfrom pytorch_metric_learning.utils import common_functions as c_f\n\nclass TestContrastiveLoss(unittest.TestCase):\n    def test_contrastive_loss(self):\n        loss_funcA = ContrastiveLoss(pos_margin=0.25, neg_margin=1.5, use_similarity=False, avg_non_zero_only=True, squared_distances=True)\n        loss_funcB = ContrastiveLoss(pos_margin=1.5, neg_margin=0.6, use_similarity=True, avg_non_zero_only=True)\n        loss_funcC = ContrastiveLoss(pos_margin=0.25, neg_margin=1.5, use_similarity=False, avg_non_zero_only=False, squared_distances=True)\n        loss_funcD = ContrastiveLoss(pos_margin=1.5, neg_margin=0.6, use_similarity=True, avg_non_zero_only=False)\n\n        embedding_angles = [0, 20, 40, 60, 80]\n        embeddings = torch.FloatTensor([c_f.angle_to_coord(a) for a in embedding_angles]) #2D embeddings\n        labels = torch.LongTensor([0, 0, 1, 1, 2])\n\n        lossA = loss_funcA(embeddings, labels)\n        lossB = loss_funcB(embeddings, labels)\n        lossC = loss_funcC(embeddings, labels)\n        lossD = loss_funcD(embeddings, labels)\n\n        pos_pairs = [(0,1), (1,0), (2,3), (3,2)]\n        neg_pairs = [(0,2), (0,3), (0,4), (1,2), (1,3), (1,4), (2,0), (2,1), (2,4), (3,0), (3,1), (3,4), (4,0), (4,1), (4,2), (4,3)]\n\n        correct_pos_losses = [0,0,0,0]\n        correct_neg_losses = [0,0,0,0]\n        num_non_zero_pos = [0,0,0,0]\n        num_non_zero_neg = [0,0,0,0]\n        for a,p in pos_pairs:\n            anchor, positive = embeddings[a], embeddings[p]\n            correct_lossA = torch.relu(torch.sum((anchor-positive)**2) - 0.25)\n            correct_lossB = torch.relu(1.5-torch.matmul(anchor, positive))\n            correct_pos_losses[0] += correct_lossA\n            correct_pos_losses[1] += correct_lossB\n            correct_pos_losses[2] += correct_lossA\n            correct_pos_losses[3] += correct_lossB\n            if correct_lossA > 0:\n                num_non_zero_pos[0] += 1\n                num_non_zero_pos[2] += 1\n            if correct_lossB > 0:\n                num_non_zero_pos[1] += 1\n                num_non_zero_pos[3] += 1          \n\n        for a,n in neg_pairs:\n            anchor, negative = embeddings[a], embeddings[n]\n            correct_lossA = torch.relu(1.5 - torch.sum((anchor-negative)**2))\n            correct_lossB = torch.relu(torch.matmul(anchor, negative)-0.6)\n            correct_neg_losses[0] += correct_lossA\n            correct_neg_losses[1] += correct_lossB\n            correct_neg_losses[2] += correct_lossA\n            correct_neg_losses[3] += correct_lossB\n            if correct_lossA > 0:\n                num_non_zero_neg[0] += 1\n                num_non_zero_neg[2] += 1\n            if correct_lossB > 0:\n                num_non_zero_neg[1] += 1\n                num_non_zero_neg[3] += 1\n                \n        for i in range(2):\n            if num_non_zero_pos[i] > 0:\n                correct_pos_losses[i] /= num_non_zero_pos[i]\n            if num_non_zero_neg[i] > 0:\n                correct_neg_losses[i] /= num_non_zero_neg[i]\n        \n        for i in range(2,4):\n            correct_pos_losses[i] /= len(pos_pairs)\n            correct_neg_losses[i] /= len(neg_pairs)\n\n        correct_losses = [0,0,0,0]\n        for i in range(4):\n            correct_losses[i] = correct_pos_losses[i] + correct_neg_losses[i]\n\n        self.assertTrue(torch.isclose(lossA, correct_losses[0]))\n        self.assertTrue(torch.isclose(lossB, correct_losses[1]))\n        self.assertTrue(torch.isclose(lossC, correct_losses[2]))\n        self.assertTrue(torch.isclose(lossD, correct_losses[3]))\n\n\n    def test_with_no_valid_pairs(self):\n        lossA = ContrastiveLoss(use_similarity=False)\n        lossB = ContrastiveLoss(use_similarity=True)\n        embedding_angles = [0]\n        embeddings = torch.FloatTensor([c_f.angle_to_coord(a) for a in embedding_angles]) #2D embeddings\n        labels = torch.LongTensor([0])\n        self.assertEqual(lossA(embeddings, labels), 0)\n        self.assertEqual(lossB(embeddings, labels), 0)'"
tests/losses/test_cross_batch_memory.py,33,"b""import unittest\r\nimport torch\r\nfrom pytorch_metric_learning.utils import loss_and_miner_utils as lmu\r\nfrom pytorch_metric_learning.utils import common_functions as c_f\r\nfrom pytorch_metric_learning.losses import CrossBatchMemory, ContrastiveLoss\r\nfrom pytorch_metric_learning.miners import PairMarginMiner, TripletMarginMiner\r\n\r\nclass TestCrossBatchMemory(unittest.TestCase):\r\n\r\n    @classmethod\r\n    def setUpClass(self):\r\n        self.embedding_size = 128\r\n        self.memory_size = 321\r\n\r\n    def test_queue(self):\r\n        batch_size = 32\r\n        self.loss = CrossBatchMemory(loss=ContrastiveLoss(), embedding_size=self.embedding_size, memory_size=self.memory_size)\r\n        for i in range(30):\r\n            embeddings = torch.randn(batch_size, self.embedding_size)\r\n            labels = torch.arange(batch_size)\r\n            q = self.loss.queue_idx\r\n            self.assertTrue(q==(i*batch_size)%self.memory_size)\r\n            loss = self.loss(embeddings, labels)\r\n\r\n            start_idx = q\r\n            if q+batch_size == self.memory_size:\r\n                end_idx = self.memory_size\r\n            else:\r\n                end_idx = (q+batch_size)%self.memory_size\r\n            if start_idx < end_idx:\r\n                self.assertTrue(torch.equal(embeddings, self.loss.embedding_memory[start_idx:end_idx]))\r\n                self.assertTrue(torch.equal(labels, self.loss.label_memory[start_idx:end_idx]))\r\n            else:\r\n                correct_embeddings = torch.cat([self.loss.embedding_memory[start_idx:], self.loss.embedding_memory[:end_idx]], dim=0)\r\n                correct_labels = torch.cat([self.loss.label_memory[start_idx:], self.loss.label_memory[:end_idx]], dim=0)\r\n                self.assertTrue(torch.equal(embeddings, correct_embeddings))\r\n                self.assertTrue(torch.equal(labels, correct_labels))\r\n\r\n    def test_shift_indices_tuple(self):\r\n        batch_size = 32\r\n        pair_miner = PairMarginMiner(pos_margin=0, neg_margin=1, use_similarity=False)\r\n        triplet_miner = TripletMarginMiner(margin=1)\r\n        self.loss = CrossBatchMemory(loss=ContrastiveLoss(), embedding_size=self.embedding_size, memory_size=self.memory_size)\r\n        for i in range(30):\r\n            embeddings = torch.randn(batch_size, self.embedding_size)\r\n            labels = torch.arange(batch_size)\r\n            loss = self.loss(embeddings, labels)\r\n            all_labels = torch.cat([labels, self.loss.label_memory], dim=0)\r\n\r\n            indices_tuple = lmu.get_all_pairs_indices(labels, self.loss.label_memory)\r\n            shifted = c_f.shift_indices_tuple(indices_tuple, batch_size)\r\n            self.assertTrue(torch.equal(indices_tuple[0], shifted[0]))\r\n            self.assertTrue(torch.equal(indices_tuple[2], shifted[2]))\r\n            self.assertTrue(torch.equal(indices_tuple[1], shifted[1]-batch_size))\r\n            self.assertTrue(torch.equal(indices_tuple[3], shifted[3]-batch_size))\r\n            a1, p, a2, n = shifted\r\n            self.assertTrue(not torch.any((all_labels[a1]-all_labels[p]).bool()))\r\n            self.assertTrue(torch.all((all_labels[a2]-all_labels[n]).bool()))\r\n            \r\n            indices_tuple = pair_miner(embeddings, labels, self.loss.embedding_memory, self.loss.label_memory)\r\n            shifted = c_f.shift_indices_tuple(indices_tuple, batch_size)\r\n            self.assertTrue(torch.equal(indices_tuple[0], shifted[0]))\r\n            self.assertTrue(torch.equal(indices_tuple[2], shifted[2]))\r\n            self.assertTrue(torch.equal(indices_tuple[1], shifted[1]-batch_size))\r\n            self.assertTrue(torch.equal(indices_tuple[3], shifted[3]-batch_size))\r\n            a1, p, a2, n = shifted\r\n            self.assertTrue(not torch.any((all_labels[a1]-all_labels[p]).bool()))\r\n            self.assertTrue(torch.all((all_labels[a2]-all_labels[n]).bool()))\r\n\r\n            indices_tuple = triplet_miner(embeddings, labels, self.loss.embedding_memory, self.loss.label_memory)\r\n            shifted = c_f.shift_indices_tuple(indices_tuple, batch_size)\r\n            self.assertTrue(torch.equal(indices_tuple[0], shifted[0]))\r\n            self.assertTrue(torch.equal(indices_tuple[1], shifted[1]-batch_size))\r\n            self.assertTrue(torch.equal(indices_tuple[2], shifted[2]-batch_size))\r\n            a, p, n = shifted\r\n            self.assertTrue(not torch.any((all_labels[a]-all_labels[p]).bool()))\r\n            self.assertTrue(torch.all((all_labels[p]-all_labels[n]).bool()))\r\n\r\n\r\n    def test_input_indices_tuple(self):\r\n        batch_size = 32\r\n        pair_miner = PairMarginMiner(pos_margin=0, neg_margin=1, use_similarity=False)\r\n        triplet_miner = TripletMarginMiner(margin=1)\r\n        self.loss = CrossBatchMemory(loss=ContrastiveLoss(), embedding_size=self.embedding_size, memory_size=self.memory_size)\r\n        for i in range(30):\r\n            embeddings = torch.randn(batch_size, self.embedding_size)\r\n            labels = torch.arange(batch_size)\r\n            self.loss(embeddings, labels)\r\n            for curr_miner in [pair_miner, triplet_miner]:\r\n                input_indices_tuple = curr_miner(embeddings, labels)\r\n                all_labels = torch.cat([labels, self.loss.label_memory], dim=0)\r\n                a1ii, pii, a2ii, nii = lmu.convert_to_pairs(input_indices_tuple, labels)\r\n                a1i, pi, a2i, ni = lmu.get_all_pairs_indices(labels, self.loss.label_memory)\r\n                a1, p, a2, n = self.loss.create_indices_tuple(batch_size, embeddings, labels, self.loss.embedding_memory, self.loss.label_memory, input_indices_tuple)\r\n                self.assertTrue(not torch.any((all_labels[a1]-all_labels[p]).bool()))\r\n                self.assertTrue(torch.all((all_labels[a2]-all_labels[n]).bool()))\r\n                self.assertTrue(len(a1) == len(a1i)+len(a1ii))\r\n                self.assertTrue(len(p) == len(pi)+len(pii))\r\n                self.assertTrue(len(a2) == len(a2i)+len(a2ii))\r\n                self.assertTrue(len(n) == len(ni)+len(nii))\r\n\r\n\r\n\r\nif __name__ == '__main__':\r\n    unittest.main()"""
tests/losses/test_margin_loss.py,7,"b'import unittest\nimport torch\nfrom pytorch_metric_learning.losses import MarginLoss\nfrom pytorch_metric_learning.utils import common_functions as c_f\n\nclass TestMarginLoss(unittest.TestCase):\n    def test_margin_loss(self):\n        margin, nu, beta = 0.1, 0, 1\n        loss_func = MarginLoss(margin=margin, nu=nu, beta=beta)\n\n        embedding_angles = [0, 20, 40, 60, 80]\n        embeddings = torch.FloatTensor([c_f.angle_to_coord(a) for a in embedding_angles]) #2D embeddings\n        labels = torch.LongTensor([0, 0, 1, 1, 2])\n\n        loss = loss_func(embeddings, labels)\n\n        triplets = [(0,1,2), (0,1,3), (0,1,4), (1,0,2), (1,0,3), (1,0,4), (2,3,0), (2,3,1), (2,3,4), (3,2,0), (3,2,1), (3,2,4)]\n\n        correct_total_loss = 0\n        num_non_zero = 0\n        for a, p, n in triplets:\n            anchor, positive, negative = embeddings[a], embeddings[p], embeddings[n]\n            pos_loss = torch.relu(torch.sqrt(torch.sum((anchor-positive)**2)) - beta + margin)\n            neg_loss = torch.relu(beta - torch.sqrt(torch.sum((anchor-negative)**2)) + margin)\n            correct_total_loss += pos_loss + neg_loss\n            if pos_loss > 0:\n                num_non_zero += 1\n            if neg_loss > 0:\n                num_non_zero += 1\n                \n        if num_non_zero > 0:\n            correct_total_loss /= num_non_zero\n\n        self.assertTrue(torch.isclose(loss, correct_total_loss))\n\n\n    def test_with_no_valid_triplets(self):\n        margin, nu, beta = 0.1, 0, 1\n        loss_func = MarginLoss(margin=margin, nu=nu, beta=beta)\n        embedding_angles = [0, 20, 40, 60, 80]\n        embeddings = torch.FloatTensor([c_f.angle_to_coord(a) for a in embedding_angles]) #2D embeddings\n        labels = torch.LongTensor([0, 1, 2, 3, 4])\n        self.assertEqual(loss_func(embeddings, labels), 0)'"
tests/losses/test_multi_similarity_loss.py,10,"b'import unittest\nimport torch\nfrom pytorch_metric_learning.losses import MultiSimilarityLoss\nfrom pytorch_metric_learning.utils import common_functions as c_f\n\nclass TestMultiSimilarityLoss(unittest.TestCase):\n    def test_multi_similarity_loss(self):\n        alpha, beta, base = 0.1, 40, 0.5\n        loss_func = MultiSimilarityLoss(alpha=alpha, beta=beta, base=base)\n\n        embedding_angles = [0, 20, 40, 60, 80]\n        embeddings = torch.FloatTensor([c_f.angle_to_coord(a) for a in embedding_angles]) #2D embeddings\n        labels = torch.LongTensor([0, 0, 1, 1, 2])\n\n        loss = loss_func(embeddings, labels)\n\n        pos_pairs = [(0,1), (1,0), (2,3), (3,2)]\n        neg_pairs = [(0,2), (0,3), (0,4), (1,2), (1,3), (1,4), (2,0), (2,1), (2,4), (3,0), (3,1), (3,4), (4,0), (4,1), (4,2), (4,3)]\n\n        correct_total = 0\n        for i in range(len(embeddings)):\n            correct_pos_loss = 0\n            correct_neg_loss = 0\n            for a,p in pos_pairs:\n                if a == i:\n                    anchor, positive = embeddings[a], embeddings[p]\n                    correct_pos_loss += torch.exp(-alpha*(torch.matmul(anchor,positive)-base))\n            if correct_pos_loss > 0:\n                correct_pos_loss = (1/alpha) * torch.log(1+correct_pos_loss)\n\n            for a,n in neg_pairs:\n                if a == i:\n                    anchor, negative = embeddings[a], embeddings[n]\n                    correct_neg_loss += torch.exp(beta*(torch.matmul(anchor,negative)-base))\n            if correct_neg_loss > 0:\n                correct_neg_loss = (1/beta) * torch.log(1+correct_neg_loss)\n            correct_total += correct_pos_loss + correct_neg_loss\n\n        correct_total /= embeddings.size(0)\n        self.assertTrue(torch.isclose(loss, correct_total))\n\n\n    def test_with_no_valid_pairs(self):\n        alpha, beta, base = 0.1, 40, 0.5\n        loss_func = MultiSimilarityLoss(alpha=alpha, beta=beta, base=base)\n        embedding_angles = [0]\n        embeddings = torch.FloatTensor([c_f.angle_to_coord(a) for a in embedding_angles]) #2D embeddings\n        labels = torch.LongTensor([0])\n        self.assertTrue(torch.isclose(loss_func(embeddings, labels), torch.tensor(0.), atol=1e-06)) #tolerance required due to logsumexp floating point errors'"
