file_path,api_count,code
__init__.py,0,"b'from mindsdb import *\nname = ""mindsdb""'"
setup.py,0,"b'import setuptools\nimport sys\nimport os\n\n\ndef remove_requirements(requirements, name, replace=None):\n    new_requirements = []\n    for requirement in requirements:\n        if requirement.split(\' \')[0] != name:\n            new_requirements.append(requirement)\n        elif replace is not None:\n            new_requirements.append(replace)\n    return new_requirements\n\nsys_platform = sys.platform\n\nabout = {}\nwith open(""mindsdb/__about__.py"") as fp:\n    exec(fp.read(), about)\n\nlong_description = open(\'README.md\', encoding=\'utf-8\').read()\n\nwith open(\'requirements.txt\', \'r\') as req_file:\n    requirements = [req.strip() for req in req_file.read().splitlines()]\n\nextra_data_sources_requirements = []\nwith open(\'optional_requirements_extra_data_sources.txt\', \'r\') as fp:\n    for line in fp:\n        extra_data_sources_requirements.append(line.rstrip(\'\\n\'))\n\nludwig_model_requirements = []\nbeta_requirements = []\nwith open(\'optional_requirements_ludwig_model.txt\', \'r\') as fp:\n    for line in fp:\n        ludwig_model_requirements.append(line.rstrip(\'\\n\'))\n\ndependency_links = []\n\n# Linux specific requirements\nif sys_platform == \'linux\' or sys_platform.startswith(\'linux\'):\n    ludwig_model_requirements = remove_requirements(ludwig_model_requirements, \'tensorflow-estimator\')\n\n# OSX specific requirements\nelif sys_platform == \'darwin\':\n    requirements = requirements\n    ludwig_model_requirements = remove_requirements(ludwig_model_requirements, \'tensorflow\', \'tensorflow == 1.13.1\')\n    ludwig_model_requirements = remove_requirements(ludwig_model_requirements, \'tensorflow-estimator\', \'tensorflow-estimator == 1.13.0\')\n    ludwig_model_requirements = remove_requirements(ludwig_model_requirements, \'ludwig\', \'ludwig == 0.1.2\')\n\n# Windows specific requirements\nelif sys_platform in [\'win32\',\'cygwin\',\'windows\']:\n    requirements = [\'cwrap\',*requirements]\n    ludwig_model_requirements = remove_requirements(ludwig_model_requirements, \'tensorflow\', \'tensorflow == 1.13.1\')\n    ludwig_model_requirements = remove_requirements(ludwig_model_requirements, \'ludwig\', \'ludwig == 0.1.2\')\n    ludwig_model_requirements = remove_requirements(ludwig_model_requirements, \'tensorflow-estimator\')\n    requirements = remove_requirements(requirements,\'wheel\', replace=\'wheel == 0.26.0\')\n\nelse:\n    print(\'\\n\\n====================\\n\\nError, platform {sys_platform} not recognized, proceeding to install anyway, but mindsdb might not work properly !\\n\\n====================\\n\\n\')\n\n\nsetuptools.setup(\n    name=about[\'__title__\'],\n    version=about[\'__version__\'],\n    url=about[\'__github__\'],\n    download_url=about[\'__pypi__\'],\n    license=about[\'__license__\'],\n    author=about[\'__author__\'],\n    author_email=about[\'__email__\'],\n    description=about[\'__description__\'],\n    long_description=long_description,\n    long_description_content_type=""text/markdown"",\n    packages=setuptools.find_packages(),\n    install_requires=requirements,\n    extras_require = {\n        \'extra_data_sources\': extra_data_sources_requirements\n        ,\'ludwig_model\': ludwig_model_requirements\n        ,\'beta\': beta_requirements\n    },\n    dependency_links=dependency_links,\n    classifiers=(\n        ""Programming Language :: Python :: 3"",\n        ""License :: OSI Approved :: MIT License"",\n        ""Operating System :: OS Independent"",\n    ),\n    python_requires="">=3.6""\n)\n'"
test.py,0,"b'from mindsdb import Predictor\nimport sys\nimport pandas as pd\nimport json\nimport time\nimport lightwood\n\n\nlightwood.config.config.CONFIG.HELPER_MIXERS = False\nmdb = Predictor(name=\'test_predictor\')\n#\'rental_price\',\n#mdb.learn(to_predict=[\'neighborhood\',\'rental_price\'],from_data=""https://mindsdb-example-data.s3.eu-west-2.amazonaws.com/home_rentals.csv"",use_gpu=False,stop_training_in_x_seconds=1000, backend=\'lightwood\', unstable_parameters_dict={\'use_selfaware_model\':True})\n\np = mdb.predict(when={\'number_of_rooms\': 3, \'number_of_bathrooms\': 2, \'sqft\':2411, \'initial_price\':3000}, run_confidence_variation_analysis=True, use_gpu=True)\ne = p[0].explanation\n\np_arr = mdb.predict(when_data=\'https://mindsdb-example-data.s3.eu-west-2.amazonaws.com/home_rentals.csv\', use_gpu=True)\nprint(p_arr[0].explanation)\n\nfor p in p_arr:\n    e = p.explanation\n\np = mdb.predict(when={\'number_of_rooms\': 3, \'number_of_bathrooms\': 2, \'neighborhood\': \'south_side\', \'sqft\':2411}, run_confidence_variation_analysis=True, use_gpu=True)\n\nfor p in p_arr:\n    exp_s = p.epitomize()\n    exp = p.explanation\n    print(exp_s)\n\n    print(p.as_dict())\n    print(p.as_list())\n    print(p.raw_predictions())\n'"
mindsdb/__about__.py,0,"b'__title__ = \'MindsDB\'\n__package_name__ = \'mindsdb\'\n__version__ = \'1.20.1\'\n__description__ = ""MindsDB\'s goal is to make it very simple for developers to use the power of artificial neural networks in their projects.""\n__email__ = ""jorge@mindsdb.com""\n__author__ = \'MindsDB Inc\'\n__github__ = \'https://github.com/mindsdb/mindsdb\'\n__pypi__ = \'https://pypi.org/project/mindsdb\'\n__license__ = \'MIT\'\n__copyright__ = \'Copyright 2018- mindsdb\'\n'"
mindsdb/__init__.py,0,"b'import sys\nif sys.version_info < (3,6):\n    raise Exception(\'Sorry, For MindsDB Python < 3.6 is not supported\')\n\n# @TODO: FIND A WAY TO ACTUALLY SOLVE THIS ASAP !!!\n# HORRIBLE HACK TO AVOID SEGFAULT\nimport lightwood\n# HORRIBLE HACK TO AVOID SEGFAULT\n# @TODO: FIND A WAY TO ACTUALLY SOLVE THIS ASAP !!!\n\nfrom mindsdb.config import CONFIG\nimport mindsdb.libs.constants.mindsdb as CONST\n\nfrom mindsdb.__about__ import __package_name__ as name, __version__\nfrom mindsdb.libs.controllers.predictor import Predictor\nfrom mindsdb.libs.data_types.mindsdb_logger import log\n\n# Data Sources\nfrom mindsdb.libs.data_sources.file_ds import FileDS\n\n# These might not initialized properly since they require optional dependencies, so we wrap them in a try-except and don\'t export them if the dependencies aren\'t installed\ntry:\n    from mindsdb.libs.data_sources.s3_ds import S3DS\nexcept:\n    pass\n\ntry:\n    from mindsdb.libs.data_sources.mysql_ds import MySqlDS\nexcept:\n    log.warning(""MySQL Datasource is not avaiable by default. If you wish to use it, please install mysqlclient or mindsdb[extra_data_sources]"")\n\ntry:\n    from mindsdb.libs.data_sources.postgres_ds import PostgresDS\nexcept:\n    log.warning(""PostgresDS Datasource is not avaiable by default. If you wish to use it, please install psycopg2 or mindsdb[extra_data_sources]"")\n\n\n\nfrom mindsdb.libs.data_sources.clickhouse_ds import ClickhouseDS\n\nMindsDB = Predictor\n'"
mindsdb/scraps.py,0,"b'\'\'\'\nThis file contains bits of codes that we might want to keep for later use,\n, but that are are currently not used anywhere in the codebase.\n\'\'\'\n\n# flake8: noqa\n\nfrom itertools import combinations, permutations\n\n\n# Previously in: mindsdb/libs/helpers/train_helpers.py\ndef getAllButOnePermutations(possible_columns):\n\n    permutations = {}\n\n    for col in possible_columns:\n        possible_columns_2 = [col3 for col3 in possible_columns if col3 != col ]\n        n_perms = "":"".join(possible_columns_2)\n\n        permutations[n_perms] = 1\n\n    ret = [perm.split(\':\') for perm in list(permutations.keys())]\n    return ret\n\n\n# Previously in mindsdb/libs/phases/stats_generator.py\n# NOTE: This function used to confuse permutations & combinations,\n# so I made both get_col_combinations() and get_col_permutations()\ndef get_col_combinations(columns, n=100):\n    """"""\n    Given a list of column names, finds first :param:n:\n    combinations (without replacement).\n    \n    :param columns: list of column names\n    :param n: max number of combinations\n    \n    :yields: example: [a, b, c] -> [[a], [b], [c], [a, b], [a, c], [b, c]]\n    """"""\n\n    count = 0\n    for i in range(1, len(columns)):\n        for combo in combinations(columns, i):\n            if count < n:\n                count += 1\n                yield combo\n\n\ndef get_col_permutations(columns, n=100):\n    """"""\n    Given a list of column names, finds first :param:n: permutations\n    \n    :param columns: list of column names\n    :param n: max number of permutations\n    \n    :yields: example: [a, b, c] -> [[a], [b], [c], [a, b], [b, a], [a, c], [c, a], [b, c], [c, b]]\n    """"""\n\n    count = 0\n    for i in range(1, len(columns)):\n        for perm in permutations(columns, i):\n            if count < n:\n                count += 1\n                yield perm\n\n\ndef getBestFitDistribution(self, data, bins=40):\n    """"""Model data by finding best fit distribution to data""""""\n    # Get histogram of original data\n\n    y, x = np.histogram(data, bins=bins, density=False)\n    x = (x + np.roll(x, -1))[:-1] / 2.0\n    # Distributions to check\n    DISTRIBUTIONS = [\n        st.bernoulli, st.beta,  st.cauchy, st.expon,  st.gamma, st.halfcauchy, st.lognorm,\n        st.norm, st.uniform, st.poisson\n    ]\n\n    # Best holders\n    best_distribution = st.norm\n    best_params = (0.0, 1.0)\n    best_sse = np.inf\n    # Estimate distribution parameters from data\n    for i, distribution in enumerate(DISTRIBUTIONS):\n        try:\n            # Ignore warnings from data that can\'t be fit\n            with warnings.catch_warnings():\n                warnings.filterwarnings(\'ignore\')\n                # fit dist to data\n                params = distribution.fit(data)\n                # Separate parts of parameters\n                arg = params[:-2]\n                loc = params[-2]\n                scale = params[-1]\n\n                # Calculate fitted PDF and error with fit in distribution\n                pdf = distribution.pdf(x, loc=loc, scale=scale, *arg)\n                sse = np.sum(np.power(y - pdf, 2.0))\n                # identify if this distribution is better\n                if best_sse > sse > 0:\n                    best_distribution = distribution\n                    best_params = params\n                    best_sse = sse\n\n        except Exception:\n            pass\n\n    return (best_distribution.name, best_params, x.tolist(), y.tolist())\n\n\ndef _get_params_as_dictionary(self, params):\n    """""" Returns a dictionary with the params of the distribution """"""\n    arg = params[:-2]\n    loc = params[-2]\n    scale = params[-1]\n    ret = {\n        \'loc\': loc,\n        \'scale\': scale,\n        \'shape\': arg\n    }\n    return ret\n\n# def isFullText(self, data):\n#     """"""\n#     It determines if the column is full text right\n#     Right now we assume its full text if any cell contains any of the WORD_SEPARATORS\n#\n#     :param data: a list containing all the column\n#     :return: Boolean\n#     """"""\n#     for cell in data:\n#         try:\n#             if any(separator in cell for separator in WORD_SEPARATORS):\n#                 return True\n#         except:\n#             exc_type, exc_value, exc_traceback = sys.exc_info()\n#             error = traceback.format_exception(exc_type, exc_value,\n#                                       exc_traceback)\n#             return False\n#     return False\n\n# Bool to number and vice-versa\n\nboolean_dictionary = {True: \'True\', False: \'False\'}\nnumeric_dictionary = {True: 1, False: 0}\nfor column in df:\n    if is_numeric_dtype(df[column]):\n        df[column] = df[column].replace(numeric_dictionary)\n    else:\n        df[column] = df[column].replace(boolean_dictionary)\n'"
docs/video_docs/learn.py,0,"b""import mindsdb\n\nmodel = mindsdb.Predictor(name='wine_model')\nmodel.learn(from_data='wine_data_train.tsv', to_predict='Cultivar')\n"""
docs/video_docs/predict.py,0,"b""import mindsdb\n\nmodel = mindsdb.Predictor(name='wine_model')\npredictions = model.predict(when_data='wine_data_predict.tsv')\n\nfor index, prediction in enumerate(predictions):\n    Cultivar = prediction['Cultivar']\n    Cultivar_confidence = prediction['Cultivar_confidence']\n    print(f'Predicted cultivar {Cultivar} for row with index {index}')\n"""
mindsdb/config/__init__.py,0,"b'""""""\n*******************************************************\n * Copyright (C) 2017 MindsDB Inc. <copyright@mindsdb.com>\n *******************************************************\n""""""\n\n\nimport logging\nfrom .helpers import *\nimport  mindsdb.libs.constants.mindsdb as CONST\n\nclass Config:\n    # These are the paths for storing data regarding mindsdb models and model info\n    MINDSDB_STORAGE_PATH = if_env_else(\'MINDSDB_STORAGE_PATH\', get_and_create_default_storage_path())\n\n    # What percentage of data do we want to keep as test, and what as train default 10% is test\n    TEST_TRAIN_RATIO = if_env_else(\'TEST_TRAIN_RATIO\', 0.1)\n\n    # IF YOU CAN TO MOVE THE TRAINING OPERATION TO A DIFFERENT EXECUTION THREAD (DEFAULT True)\n    EXEC_LEARN_IN_THREAD = if_env_else(\'EXEC_LEARN_IN_THREAD\', False)\n\n    # LOG Config settings\n    DEFAULT_LOG_LEVEL = if_env_else(\'DEFAULT_LOG_LEVEL\', CONST.DEBUG_LOG_LEVEL)\n\n    CHECK_FOR_UPDATES = if_env_else(\'CHECK_FOR_UPDATES\', True)\n    IS_CI_TEST = if_env_else(\'IS_CI_TEST\', False)\n\n    # Default options for unning on sagemaker\n    SAGEMAKER = if_env_else(\'SAGEMAKER\', False)\n\n\nCONFIG = Config()\n'"
mindsdb/config/helpers.py,0,"b'import inspect\nimport os\nfrom pathlib import Path\nimport traceback\n\nfrom mindsdb.__about__ import __version__\n\n\ndef if_env_else(env_var, else_value):\n    """"""\n    return else_value if env_var is not set in environment variables\n    :return:\n    """"""\n    return else_value if env_var not in os.environ else os.environ[env_var]\n\n\ndef create_directory(path):\n    path = Path(path)\n    path.mkdir(mode=0o777, exist_ok=True, parents=True)\n\n\ndef get_and_create_default_storage_path():\n    this_file_path = os.path.abspath(inspect.getfile(inspect.currentframe()))\n    mindsdb_path = os.path.abspath(Path(this_file_path).parent.parent)\n    version_path = __version__.replace(\'.\', \'_\')\n    path = os.path.abspath(f\'{mindsdb_path}/mindsdb_storage/{version_path}\')\n\n    try:\n        create_directory(path)\n        correct_permissions = os.access(path, os.W_OK)\n    except:\n        print(f\'MindsDB storage directory: {path} does not exist and could not be created, trying another directory\')\n        correct_permissions = False\n\n    if not correct_permissions:\n        home = os.path.expanduser(\'~\')\n        path = os.path.join(home, \'.mindsdb_storage\')\n        try:\n            create_directory(path)\n        except:\n            print(f\'MindsDB storage directory: {path} does not exist and could not be created\')\n\n    return path\n'"
